date,category,vendor,amount
2026-06-04,Cloud Infra,AWS India (RDS),5260
2026-06-04,Payroll,Payroll - Team,22969
2026-06-04,Marketing,Meta Ads,2952
2026-06-04,Software Tools,GitHub,2972
2026-06-04,Office,Swiggy Office,1584
2026-06-04,Travel,Uber for Business,908
2026-06-05,Cloud Infra,AWS India (EC2),4619
2026-06-05,Payroll,Payroll - Team,22363
2026-06-05,Marketing,Meta Ads,5950
2026-06-05,Software Tools,GitHub,2669
2026-06-05,Office,Amazon Office Supplies,1487
2026-06-05,Travel,IndiGo,901
2026-06-06,Cloud Infra,AWS India (EC2),4753
2026-06-06,Marketing,Meta Ads,6155
2026-06-06,Software Tools,Notion,2219
2026-06-06,Travel,IndiGo,755
2026-06-07,Cloud Infra,AWS India,4731
2026-06-07,Software Tools,GitHub,2956
2026-06-07,Office,Amazon Office Supplies,2217
2026-06-07,Travel,IndiGo,1530
2026-06-08,Cloud Infra,AWS India (RDS),4650
2026-06-08,Payroll,Payroll - Team,20912
2026-06-08,Marketing,Meta Ads,3488
2026-06-08,Software Tools,Slack,2170
2026-06-08,Office,WeWork / Office,1391
2026-06-08,Travel,Uber for Business,1482
2026-06-09,Cloud Infra,AWS India (EC2),5902
2026-06-09,Payroll,Payroll - Team,22248
2026-06-09,Marketing,Google Ads,4672
2026-06-09,Software Tools,Notion,2765
2026-06-09,Office,Swiggy Office,2167
2026-06-09,Travel,Uber for Business,1236
2026-06-10,Cloud Infra,AWS India (RDS),5106
2026-06-10,Payroll,Payroll - Team,21529
2026-06-10,Marketing,Google Ads,5915
2026-06-10,Software Tools,Slack,2424
2026-06-10,Office,Swiggy Office,1329
2026-06-10,Travel,MakeMyTrip,1143
2026-06-11,Cloud Infra,AWS India (RDS),5075
2026-06-11,Payroll,Payroll - Team,22981
2026-06-11,Marketing,LinkedIn Ads,5456
2026-06-11,Software Tools,Notion,3420
2026-06-11,Office,Swiggy Office,2182
2026-06-11,Travel,Uber for Business,1594
2026-06-12,Cloud Infra,AWS India (EC2),5182
2026-06-12,Payroll,Payroll - Team,21859
2026-06-12,Marketing,LinkedIn Ads,5108
2026-06-12,Software Tools,Slack,3277
2026-06-12,Office,Swiggy Office,1837
2026-06-12,Travel,MakeMyTrip,1474
2026-06-13,Cloud Infra,AWS India (EC2),4632
2026-06-13,Marketing,LinkedIn Ads,3637
2026-06-13,Software Tools,Datadog,2558
2026-06-13,Office,Swiggy Office,2287
2026-06-13,Travel,MakeMyTrip,498
2026-06-14,Cloud Infra,AWS India (EC2),4501
2026-06-14,Marketing,Meta Ads,2947
2026-06-14,Travel,Uber for Business,1770
2026-06-15,Cloud Infra,AWS India (RDS),4617
2026-06-15,Payroll,Payroll - Team,21152
