date,source,amount
2026-06-04,Acme Subscriptions (MRR),26870
2026-06-05,Acme Subscriptions (MRR),24305
2026-06-05,Enterprise Licenses,10604
2026-06-05,Professional Services,2020
2026-06-06,Acme Subscriptions (MRR),8953
2026-06-07,Acme Subscriptions (MRR),9148
2026-06-08,Acme Subscriptions (MRR),27079
2026-06-08,Enterprise Licenses,6519
2026-06-08,Professional Services,5515
2026-06-09,Acme Subscriptions (MRR),23073
2026-06-09,Enterprise Licenses,10855
2026-06-10,Acme Subscriptions (MRR),24041
2026-06-10,Enterprise Licenses,7590
2026-06-11,Acme Subscriptions (MRR),23703
2026-06-11,Enterprise Licenses,10026
2026-06-11,Professional Services,5150
2026-06-12,Acme Subscriptions (MRR),26506
2026-06-12,Enterprise Licenses,7991
2026-06-12,Professional Services,5641
2026-06-13,Acme Subscriptions (MRR),9471
2026-06-13,Enterprise Licenses,3434
2026-06-13,Professional Services,645
2026-06-14,Acme Subscriptions (MRR),8619
2026-06-15,Acme Subscriptions (MRR),24689
2026-06-16,Acme Subscriptions (MRR),27276
2026-06-17,Acme Subscriptions (MRR),24607
2026-06-17,Professional Services,4792
2026-06-18,Acme Subscriptions (MRR),27179
2026-06-18,Professional Services,2429
2026-06-19,Acme Subscriptions (MRR),25753
2026-06-19,Enterprise Licenses,10465
2026-06-19,Professional Services,4984
2026-06-20,Acme Subscriptions (MRR),10059
2026-06-20,Enterprise Licenses,2345
2026-06-21,Acme Subscriptions (MRR),8894
2026-06-22,Acme Subscriptions (MRR),29454
2026-06-22,Enterprise Licenses,7508
2026-06-22,Professional Services,3583
2026-06-23,Acme Subscriptions (MRR),29311
2026-06-23,Enterprise Licenses,7058
2026-06-24,Acme Subscriptions (MRR),27086
2026-06-24,Professional Services,6067
2026-06-25,Acme Subscriptions (MRR),26083
2026-06-25,Professional Services,4159
2026-06-26,Acme Subscriptions (MRR),24135
2026-06-27,Acme Subscriptions (MRR),9666
2026-06-27,Enterprise Licenses,2994
2026-06-28,Acme Subscriptions (MRR),9124
2026-06-28,Enterprise Licenses,3345
2026-06-28,Professional Services,2070
2026-06-29,Acme Subscriptions (MRR),23717
2026-06-29,Enterprise Licenses,10990
2026-06-29,Professional Services,2977
2026-06-30,Acme Subscriptions (MRR),27811
2026-07-01,Acme Subscriptions (MRR),26637
2026-07-01,Enterprise Licenses,12828
2026-07-02,Acme Subscriptions (MRR),26974
2026-07-02,Professional Services,5994
2026-07-03,Acme Subscriptions (MRR),25699
2026-07-03,Enterprise Licenses,10367
2026-07-04,Acme Subscriptions (MRR),10060
2026-07-04,Enterprise Licenses,4189
2026-07-04,Professional Services,583
2026-07-05,Acme Subscriptions (MRR),9076
2026-07-05,Professional Services,2120
2026-07-06,Acme Subscriptions (MRR),29267
2026-07-07,Acme Subscriptions (MRR),29607
2026-07-07,Enterprise Licenses,5503
2026-07-07,Professional Services,2017
2026-07-08,Acme Subscriptions (MRR),28879
2026-07-08,Enterprise Licenses,5912
2026-07-08,Professional Services,4431
2026-07-09,Acme Subscriptions (MRR),25679
2026-07-09,Enterprise Licenses,8696
2026-07-10,Acme Subscriptions (MRR),27505
