date,description,category,amount
2026-06-04,IN - Acme Subscriptions (MRR),Revenue,26870
2026-06-04,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5260
2026-06-04,OUT - Payroll - Team [Payroll],Payroll,-22969
2026-06-04,OUT - Meta Ads [Marketing],Marketing,-2952
2026-06-04,OUT - GitHub [Software Tools],Software Tools,-2972
2026-06-04,OUT - Swiggy Office [Office],Office,-1584
2026-06-04,OUT - Uber for Business [Travel],Travel,-908
2026-06-05,IN - Acme Subscriptions (MRR),Revenue,24305
2026-06-05,IN - Enterprise Licenses,Revenue,10604
2026-06-05,IN - Professional Services,Revenue,2020
2026-06-05,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-4619
2026-06-05,OUT - Payroll - Team [Payroll],Payroll,-22363
2026-06-05,OUT - Meta Ads [Marketing],Marketing,-5950
2026-06-05,OUT - GitHub [Software Tools],Software Tools,-2669
2026-06-05,OUT - Amazon Office Supplies [Office],Office,-1487
2026-06-05,OUT - IndiGo [Travel],Travel,-901
2026-06-06,IN - Acme Subscriptions (MRR),Revenue,8953
2026-06-06,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-4753
2026-06-06,OUT - Meta Ads [Marketing],Marketing,-6155
2026-06-06,OUT - Notion [Software Tools],Software Tools,-2219
2026-06-06,OUT - IndiGo [Travel],Travel,-755
2026-06-07,IN - Acme Subscriptions (MRR),Revenue,9148
2026-06-07,OUT - AWS India [Cloud Infra],Cloud Infra,-4731
2026-06-07,OUT - GitHub [Software Tools],Software Tools,-2956
2026-06-07,OUT - Amazon Office Supplies [Office],Office,-2217
2026-06-07,OUT - IndiGo [Travel],Travel,-1530
2026-06-08,IN - Acme Subscriptions (MRR),Revenue,27079
2026-06-08,IN - Enterprise Licenses,Revenue,6519
2026-06-08,IN - Professional Services,Revenue,5515
2026-06-08,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-4650
2026-06-08,OUT - Payroll - Team [Payroll],Payroll,-20912
2026-06-08,OUT - Meta Ads [Marketing],Marketing,-3488
2026-06-08,OUT - Slack [Software Tools],Software Tools,-2170
2026-06-08,OUT - WeWork / Office [Office],Office,-1391
2026-06-08,OUT - Uber for Business [Travel],Travel,-1482
2026-06-09,IN - Acme Subscriptions (MRR),Revenue,23073
2026-06-09,IN - Enterprise Licenses,Revenue,10855
2026-06-09,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-5902
2026-06-09,OUT - Payroll - Team [Payroll],Payroll,-22248
2026-06-09,OUT - Google Ads [Marketing],Marketing,-4672
